,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
161,309.0,291.0,358.0,427.0,352.0,317.0,280.0,330.0,354.0,55.0,356.0,356.0
162,308.0,291.0,354.0,176.0,353.0,317.0,281.0,332.0,354.0,892.0,359.0,358.0
163,309.0,291.0,354.0,221.0,354.0,316.0,279.0,331.0,356.0,912.0,359.0,360.0
164,310.0,289.0,355.0,426.0,353.0,317.0,281.0,332.0,353.0,898.0,361.0,355.0
165,310.0,289.0,356.0,225.0,351.0,316.0,281.0,329.0,354.0,910.0,361.0,360.0
166,310.0,290.0,358.0,521.0,352.0,318.0,281.0,332.0,354.0,38.0,355.0,355.0
167,308.0,292.0,359.0,350.0,352.0,317.0,278.0,330.0,353.0,52.0,355.0,358.0
168,308.0,293.0,357.0,206.0,353.0,317.0,282.0,334.0,356.0,894.0,362.0,360.0
169,310.0,291.0,355.0,272.0,355.0,315.0,279.0,331.0,353.0,907.0,360.0,360.0
170,309.0,290.0,356.0,545.0,353.0,317.0,282.0,332.0,352.0,392.0,358.0,354.0
171,309.0,290.0,356.0,545.0,353.0,317.0,282.0,332.0,352.0,392.0,358.0,354.0
172,307.0,292.0,356.0,232.0,352.0,318.0,278.0,331.0,356.0,894.0,357.0,359.0
173,312.0,292.0,356.0,559.0,355.0,316.0,280.0,332.0,354.0,38.0,356.0,355.0
174,309.0,290.0,355.0,199.0,351.0,317.0,280.0,332.0,353.0,887.0,360.0,357.0
175,310.0,290.0,357.0,482.0,352.0,317.0,280.0,330.0,352.0,58.0,356.0,354.0
176,308.0,289.0,356.0,243.0,353.0,317.0,280.0,330.0,354.0,895.0,357.0,359.0
177,311.0,290.0,360.0,361.0,351.0,317.0,279.0,329.0,352.0,128.0,356.0,357.0
178,308.0,291.0,355.0,314.0,355.0,317.0,280.0,333.0,354.0,914.0,361.0,360.0
179,309.0,293.0,356.0,590.0,355.0,316.0,279.0,331.0,353.0,56.0,356.0,356.0
180,311.0,290.0,358.0,279.0,354.0,317.0,283.0,330.0,352.0,905.0,359.0,357.0
181,310.0,289.0,357.0,605.0,354.0,316.0,281.0,329.0,352.0,57.0,356.0,356.0
182,307.0,289.0,357.0,240.0,351.0,316.0,279.0,330.0,353.0,908.0,359.0,357.0
183,307.0,289.0,357.0,240.0,351.0,316.0,279.0,330.0,353.0,908.0,359.0,357.0
184,310.0,293.0,356.0,586.0,354.0,316.0,279.0,331.0,352.0,57.0,358.0,356.0
185,312.0,291.0,356.0,505.0,356.0,317.0,281.0,333.0,351.0,46.0,356.0,357.0
186,310.0,289.0,356.0,202.0,351.0,316.0,282.0,330.0,351.0,875.0,359.0,357.0
187,307.0,289.0,356.0,357.0,352.0,319.0,281.0,330.0,354.0,898.0,358.0,357.0
188,307.0,289.0,356.0,214.0,351.0,317.0,278.0,330.0,354.0,911.0,360.0,358.0
189,309.0,292.0,359.0,542.0,353.0,318.0,279.0,332.0,353.0,42.0,357.0,357.0
190,309.0,292.0,355.0,252.0,353.0,315.0,279.0,331.0,351.0,322.0,359.0,357.0
191,309.0,290.0,355.0,310.0,354.0,316.0,281.0,331.0,355.0,893.0,361.0,359.0
192,309.0,288.0,356.0,248.0,350.0,316.0,282.0,330.0,352.0,912.0,359.0,357.0
193,309.0,288.0,356.0,248.0,350.0,316.0,282.0,330.0,352.0,912.0,359.0,357.0
194,308.0,290.0,359.0,541.0,353.0,318.0,281.0,333.0,356.0,36.0,358.0,359.0
195,308.0,290.0,359.0,541.0,353.0,318.0,281.0,333.0,356.0,36.0,358.0,359.0
196,308.0,290.0,356.0,442.0,353.0,317.0,281.0,333.0,352.0,900.0,359.0,356.0
197,309.0,289.0,356.0,228.0,351.0,315.0,280.0,332.0,351.0,910.0,359.0,357.0
198,308.0,291.0,357.0,417.0,352.0,318.0,282.0,330.0,354.0,899.0,357.0,356.0
199,307.0,289.0,356.0,214.0,353.0,316.0,279.0,330.0,353.0,909.0,357.0,360.0
